Course,Enrollment Date (UTC TimeZone),Started Date (UTC TimeZone),Completion Date (UTC TimeZone),Status,Progress %,Time Spent(minutes),Quiz_score,Centre Number,Centre Country,Completion Comment
Exams Officer UK Webinar - April 3rd 2025,3/11/25 14:16,4/15/25 9:07,4/15/25 9:09,Completed,100,0,9,34115A,UK,
Exams Officer UK Webinar - June 12th 2025,3/11/25 14:16,,,Not Started,0,0,,34115A,UK,
Exams Officer UK Webinar - March 13 2025,3/11/25 14:14,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,34115A,UK,Thank you for attending our EO Webinar for March 2025
Exams Officer UK Webinar - May 1st 2025,3/11/25 14:16,,,Not Started,0,0,,34115A,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/30/25 11:35,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,34115A,UK,
Exams Officer UK Webinar - 12 December 2024,9/26/24 13:57,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,54439,UK,
Exams Officer UK Webinar - March 13 2025,1/13/25 14:04,,,Not Started,0,0,,54439,UK,
Exams Officer UK Webinar - October 17 2024,9/26/24 13:56,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,54439,UK,
Exams Officer UK Webinar - September 26 2024,9/25/24 14:56,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,54439,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 9:10,,,Not Started,0,0,,38220,UK,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,2/3/25 12:35,2/3/25 12:35,2/3/25 12:35,Completed,100,1.87,,10497,UK,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,61159E,UK,
Exams Officer UK Webinar - 12 December 2024,9/17/24 10:00,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,61443,UK,
Exams Officer UK Webinar - November 14 2024,9/17/24 10:00,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,61443,UK,
Exams Officer UK Webinar - October 17 2024,9/17/24 10:00,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,61443,UK,
Exams Officer UK Webinar - September 26 2024,9/17/24 9:59,,,Not Started,0,0,,61443,UK,
Recording of  Exams Officer UK Webinar - November 16 2023,11/8/23 10:30,11/20/23 11:05,,In Progress,50,10.47,,61443,UK,
Recording of Exams Officer UK Webinar - April 2024,9/3/24 15:53,9/3/24 15:53,,In Progress,0,0.18,,61443,UK,
Welcome to Pearson - New to role Exams Officer (International),10/24/24 2:23,10/24/24 2:24,,In Progress,23.08,480.63,,96662,Indonesia,
Welcome to Pearson - New to role Exams Officer (International),9/26/24 8:17,9/26/24 8:17,10/8/24 8:57,Completed,100,2301.9,,96718,Iraq,
Exams Officer UK Webinar - March 13 2025,2/18/25 16:12,,,Not Started,0,0,,,UK,
BTEC Bitesize Module 4: BTEC Amendments (2023/24) UK centres,4/3/24 7:46,4/10/24 7:58,4/10/24 7:58,Completed,100,0.5,3,,UK,
GQ Bitesize (International) Introduction 2024/2025,10/31/24 12:14,,,Not Started,0,0,,,UK,
GQ Bitesize (International) Making Entries 2024/2025,10/31/24 12:16,,,Not Started,0,0,,,UK,
GQ Bitesize (UK) Module 5: NEA 2023-2024,4/3/24 7:46,4/10/24 8:08,4/10/24 8:09,Completed,100,1.43,30,,UK,
GQ/BTEC Bitesize (International) Modified Papers 2024/2025,10/31/24 12:18,,,Not Started,0,0,,,UK,
International GQ Bitesize  Module 1: Introduction 2023/2024,4/3/24 7:46,4/10/24 8:09,4/10/24 8:12,Completed,100,2.63,40,,UK,
International GQ Bitesize  Module 2: Entries 2023/2024,4/3/24 7:46,4/10/24 8:18,4/10/24 8:20,Completed,100,1.85,30,,UK,
International VQ Learner Tracker and Claims Webinar,1/8/25 11:57,1/8/25 11:57,1/8/25 11:57,Completed,100,105.78,,,UK,
International VQ Learner Tracking Briefing,1/14/25 9:37,1/14/25 9:38,1/14/25 9:38,Completed,100,273.08,,,UK,
Learner Work Transfer - January 2024 Session ,1/4/24 10:16,1/8/24 8:57,1/8/24 9:28,Completed,100,31.04,8,,UK,
Recording of VQ Learner Tracking Briefing,1/8/25 13:43,1/8/25 13:43,1/8/25 13:43,Completed,100,65.5,,,UK,
"Security Checks For Calls, Emails & Chat 2024",4/3/24 7:46,4/10/24 7:13,4/10/24 7:25,Completed,100,9.61,9,,UK,
VQ Learner Tracker and Claims Webinar,1/20/25 11:29,1/20/25 11:29,1/20/25 11:29,Completed,100,270.53,,,UK,
Exams Officer UK Webinar - October 17 2024,10/17/24 11:25,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,62401,UK,
Recording of Exams Officer UK Webinar - April 3rd 2025,4/15/25 14:45,4/15/25 14:45,,In Progress,50,3.72,,62401,UK,
GQ Bitesize (UK) Access Arrangements  2024/2025,2/13/25 14:26,2/13/25 14:26,2/13/25 14:38,Completed,100,11.97,30,48181,UK,
Exams Officer UK Webinar - 12 December 2024,11/1/24 11:21,,,Not Started,0,0,,26233,UK,
Exams Officer UK Webinar - November 14 2024,11/1/24 11:00,,,Not Started,0,0,,26233,UK,
Recording of Exams Officer UK Webinar - September 2024,2/11/25 14:32,2/11/25 14:32,,In Progress,0,2.43,,26233,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/11/25 14:32,,,Not Started,0,0,,26233,UK,
Exams Officer UK Webinar - 12 December 2024,11/6/24 13:28,,,Not Started,0,0,,58319,UK,
Recording of the Exams Officer International Webinar - October 24 2024,10/14/24 3:43,,,Not Started,0,0,,96637,India,
International GQ Bitesize  Module 1: Introduction 2023/2024,9/4/24 16:25,9/4/24 16:25,9/4/24 16:36,Completed,100,11.68,40,97618,Spain,
PEIC Bitesize - Access Arrangements 2023/24,9/12/24 9:45,9/15/24 16:32,9/15/24 16:40,Completed,100,7.2,30,97618,Spain,
PEIC Bitesize - Entries and Amendments 2023/24,12/12/24 8:41,12/12/24 8:42,12/12/24 8:45,Completed,100,3.82,30,97618,Spain,
Welcome to Pearson - New to role Exams Officer (International),9/4/24 15:47,9/4/24 15:48,9/4/24 16:01,Completed,100,54.34,,97618,Spain,
Recording of Making entries for International GCSE's live event - 06 March 2024,2/7/25 7:16,2/7/25 7:16,2/7/25 7:16,Completed,100,52.27,,90724,United Arab Emirates,
Centre Declaration of Interest,3/19/25 8:39,3/19/25 8:39,3/19/25 8:39,Completed,100,12.48,,20478,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 11:18,,,Not Started,0,0,,20478,UK,
International Customer Onboarding,3/25/25 9:16,,,Not Started,0,0,,97832,Kenya,
Exams Officer UK Webinar - 12 December 2024,11/5/24 13:30,,,Not Started,0,0,,53607,UK,
Exams Officer UK Webinar - October 17 2024,9/25/24 8:29,,,Not Started,0,0,,53607,UK,
Exams Officer UK Webinar - September 26 2024,9/25/24 8:21,,,Not Started,0,0,,53607,UK,
Welcome to Pearson - New to role Exams Officer ,11/5/24 15:53,11/5/24 15:53,,In Progress,7.14,82.80000000000001,,53607,UK,
Edexcel Online Walkthrough: Printing Attendance Registers,4/21/25 3:53,4/21/25 3:53,4/21/25 3:53,Completed,100,5.68,,,United Arab Emirates,
Edexcel Online: Late Cash-in process,10/31/24 5:25,12/9/24 7:33,12/9/24 7:35,Completed,100,2.73,,,United Arab Emirates,
International Exams Officer Webinar - 12 December 2024,12/9/24 4:20,,,Not Started,0,0,,,United Arab Emirates,
International GQ Bitesize  Module 9 : Post Results Services 2023-2024,12/9/24 8:52,,,Not Started,0,0,,,United Arab Emirates,
PEIC Bitesize - Access Arrangements 2023/24,10/31/24 5:25,11/21/24 11:12,11/21/24 11:31,Completed,100,18.78,30,,United Arab Emirates,
PEIC Bitesize - Learner Work Transfer 2023/24,10/31/24 5:25,,,Not Started,0,0,,,United Arab Emirates,
PEIC Bitesize - Modified Papers 2023/24,12/9/24 8:54,12/9/24 8:54,12/9/24 9:05,Completed,100,11.02,30,,United Arab Emirates,
PEIC Bitesize - Special Consideration 2023/24,10/31/24 5:25,11/21/24 10:58,11/21/24 11:08,Completed,100,10.88,30,,United Arab Emirates,
PEIC Bitesize - Test inspections 2023/24,10/31/24 5:25,11/8/24 7:39,11/8/24 7:54,Completed,100,15.97,30,,United Arab Emirates,
Recording of Making entries for International GCSE's live event - 06 March 2024,11/8/24 7:20,11/8/24 7:20,11/8/24 7:20,Completed,100,17.12,,,United Arab Emirates,
Recording of the Exams Officer International Webinar - October 24 2024,10/31/24 5:26,12/9/24 7:36,12/9/24 7:36,Completed,100,75.37,,,United Arab Emirates,
ResultsPlus: Accessing individual student results,10/31/24 5:25,12/9/24 7:30,12/9/24 7:33,Completed,100,3.63,,,United Arab Emirates,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 10:49,,,Not Started,0,0,,,United Arab Emirates,
Welcome to Pearson - New to role Exams Officer (International),10/31/24 5:24,11/8/24 6:53,11/8/24 7:14,Completed,100,163.26,,,United Arab Emirates,
Recording of the EO International Webinar - 13 February 2025,2/12/25 1:54,2/13/25 9:00,2/13/25 10:00,Completed,0,60,,96716,China,
Recording of the EO International Webinar - 13 February 2025,2/19/25 7:13,2/19/25 7:14,2/19/25 7:46,Completed,100,125.17,,,,
EO International Webinar - 10th April 2025,4/9/25 15:03,,,Not Started,0,0,,97517,Romania,
Recording of Understanding Modular Cash in Codes and Entries for Pearson International GCSE Live event,5/10/25 1:15,5/10/25 1:15,,In Progress,66.67,2.16,,96654,China,
Recording of the EO International Webinar - 13 February 2025,2/8/25 1:36,,,Not Started,0,0,,96654,China,
Recording of the Exams Officer International Webinar - October 24 2024,10/22/24 8:35,,,Not Started,0,0,,96654,China,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 0:15,,,Not Started,0,0,,96654,China,
Welcome to Pearson - New to role Exams Officer (International),10/24/24 8:52,,,Not Started,0,0,,96654,China,
BTEC Bitesize Module 4: BTEC Amendments (2023/24) UK centres,1/19/24 10:18,2/28/25 11:43,,In Progress,0,0.3,0,12724,UK,
Recording of Exams Officer UK Webinar - September 28 2023,10/4/23 8:22,10/4/23 8:22,11/14/23 14:30,Completed,100,1477.8,,12724,UK,
Recording of Exams Officer UK Webinar - January 2025,2/10/25 15:36,2/10/25 15:36,2/10/25 15:39,Completed,100,1,,42131,UK,
Exams Officer UK Webinar - March 13 2025,2/28/25 9:28,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,16535,UK,Thank you for attending our EO Webinar for March 2025
VQ Learner Tracker - How to use the VQ LT and make entries,3/21/25 8:34,3/21/25 8:34,3/21/25 8:34,Completed,100,0.27,,16535,UK,
Exams Officer UK Webinar - May 1st 2025,4/29/25 13:53,,,Not Started,0,0,,66523,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/29/25 8:14,,,Not Started,0,0,,66523,UK,
Exams Officer UK Webinar - March 13 2025,3/12/25 14:28,,,Not Started,0,0,,13302,UK,
Recording of Exams Officer UK Webinar - December 2024,1/9/25 12:43,1/9/25 12:43,1/9/25 14:17,Completed,100,168.2,,16802,UK,
Recording of Exams Officer UK Webinar - September 2024,2/28/25 10:08,2/28/25 10:08,2/28/25 10:31,Completed,100,29.07,,16802,UK,
Recording of Exams Officer UK Webinar - January 2025,2/13/25 11:33,2/13/25 11:33,,In Progress,0,0.42,,97318,UK,
Recording of Exams Officer UK Webinar - November 2024,12/10/24 7:11,12/10/24 7:11,,In Progress,0,0.67,,97318,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/13/25 11:32,,,Not Started,0,0,,97318,UK,
BTEC Bitesize: Intro to BTEC (2024/25),4/15/25 9:24,4/15/25 9:26,,In Progress,0,39.02,,24308,UK,
GQ Bitesize (UK) Access Arrangements  2024/2025,4/15/25 9:23,,,Not Started,0,0,,24308,UK,
GQ Bitesize (UK) Exam Administration 2024/2025,4/15/25 7:59,4/15/25 7:59,4/15/25 9:20,Completed,100,48.98,30,24308,UK,
GQ Bitesize (UK) Question Paper Security 2024/2025,4/15/25 9:21,,,Not Started,0,0,,24308,UK,
Welcome to Pearson - New to role Exams Officer ,4/15/25 9:25,4/15/25 9:25,,In Progress,7.14,8.99,,24308,UK,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 2:55,,,Not Started,0,0,,96627,United Arab Emirates,
Exams Officer UK Webinar - November 14 2024,11/7/24 15:26,,,Not Started,0,0,,51510,UK,
Recording of International EO webinars July & August 2024 - Results specials,7/25/24 15:03,7/25/24 15:04,8/12/24 10:37,Completed,50,60.5,,96880,Indonesia,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 9:35,,,Not Started,0,0,,96880,Indonesia,
Recording of the EO International Webinar - 12 December 2024,4/18/25 8:42,4/18/25 8:42,,In Progress,0,0,,95866,India,
Recording of Exams Officer UK Webinar - October 2024,10/31/24 9:56,10/31/24 9:56,10/31/24 10:23,Completed,100,44.02,,08570A,UK,
Centre Declaration of Interest,3/14/25 14:37,3/14/25 14:37,3/14/25 14:37,Completed,100,112.37,,95407,Kenya,
EO International Webinar - 10th April 2025,4/10/25 3:49,,,Not Started,0,0,,97572,Pakistan,
Exams Officer UK Webinar - 12 December 2024,11/6/24 10:05,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,54433,UK,
Exams Officer UK Webinar - April 3rd 2025,3/10/25 14:06,,,Not Started,0,0,,10289,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 13:09,,,Not Started,0,0,,10289,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 12:35,,,Not Started,0,0,,10289,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/12/25 15:43,3/10/25 13:59,3/10/25 14:05,Completed,100,7.02,,10289,UK,
Recording of Exams Officer UK Webinar - March 13 2025,3/18/25 10:06,3/18/25 10:06,3/18/25 10:06,Completed,100,3,,64695,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 14:35,,,Not Started,0,0,,33548,UK,
Exams Officer UK Webinar - 12 December 2024,12/12/24 13:05,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,61438,UK,
Exams Officer UK Webinar - 16 January 2025,12/12/24 14:33,,,Not Started,0,0,,61438,UK,
Exams Officer UK Webinar - March 13 2025,12/12/24 14:33,,,Not Started,0,0,,61438,UK,
GQ Bitesize (UK) Modified Papers 2024/2025,12/12/24 13:31,12/12/24 13:31,12/12/24 13:43,Completed,100,12.13,40,61438,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,12/12/24 14:33,,,Not Started,0,0,,61438,UK,
Centre Declaration of Interest,10/25/24 9:18,10/25/24 9:18,10/25/24 9:18,Completed,100,91.62,,16343,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 12:37,,,Not Started,0,0,,48161,UK,
Exams Officer UK Webinar - November 14 2024,10/17/24 9:40,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,48161,UK,
Exams Officer UK Webinar - September 26 2024,9/26/24 9:50,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,48161,UK,
Recording of Exams Officer UK Webinar - January 2025,2/14/25 10:10,2/14/25 10:10,2/14/25 10:46,Completed,100,56,,48161,UK,
Recording of Exams Officer UK Webinar - September 2024,10/17/24 9:58,10/17/24 9:58,,In Progress,0,36.63,,48161,UK,
Recording of Exams Officer UK Webinar - September 28 2023,9/14/23 6:56,2/14/25 11:33,,In Progress,50,59.97,,48161,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/30/25 7:56,,,Not Started,0,0,,48161,UK,
Recording of Exams Officer UK Webinar - January 2025,2/13/25 14:20,2/13/25 14:20,,In Progress,0,2.55,,52203,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 12:29,,,Not Started,0,0,,10931,UK,
Centre Declaration of Interest,11/7/24 11:34,11/7/24 11:34,11/7/24 11:34,Completed,100,7.27,,61959,UK,
Exams Officer UK Webinar - November 14 2024,11/7/24 11:49,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,61959,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/29/25 12:11,,,Not Started,0,0,,22233,UK,
Exams Officer UK Webinar - 16 January 2025,1/13/25 12:00,,,Not Started,0,0,,31210,UK,
Exams Officer UK Webinar - March 13 2025,3/11/25 14:53,,,Not Started,0,0,,31210,UK,
Recording of the EO International Webinar - 12 December 2024,1/10/25 14:18,1/10/25 14:18,1/10/25 14:22,Completed,100,5,,95771,United Arab Emirates,
Exams Officer UK Webinar - April 3rd 2025,3/19/25 8:29,,,Not Started,0,0,,28212,UK,
Exams Officer UK Webinar - April 3rd 2025,4/1/25 15:27,,,Not Started,0,0,,48327,UK,
Exams Officer UK Webinar - November 14 2024,11/7/24 10:40,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,22367,UK,
Recording of Exams Officer UK Webinar - October 2024,11/7/24 10:40,,,Not Started,0,0,,22367,UK,
Recording of Exams Officer UK Webinar - September 2024,11/7/24 10:41,11/7/24 10:42,,In Progress,0,1.23,,22367,UK,
Centre Declaration of Interest,3/13/25 7:10,3/13/25 7:10,3/13/25 7:10,Completed,100,425.65,,20578,UK,
Cohort Declaration walkthrough,9/13/24 10:21,9/13/24 10:21,9/13/24 10:29,Completed,100,10.5,2,20578,UK,
Exams Officer UK Webinar - March 13 2025,3/11/25 15:07,,,Not Started,0,0,,20578,UK,
Centre Declaration of Interest,3/13/25 9:07,3/13/25 9:07,3/13/25 9:07,Completed,100,196.98,,28132,UK,
Exams Officer UK Webinar - 16 January 2025,1/10/25 15:19,,,Not Started,0,0,,4193,UK,
Centre Declaration of Interest,11/28/24 15:08,11/28/24 15:08,11/28/24 15:08,Completed,100,16.92,,12807,UK,
Exams Officer UK Webinar - 16 January 2025,1/10/25 15:20,,,Not Started,0,0,,12807,UK,
Exams Officer UK Webinar - April 3rd 2025,2/27/25 15:29,,,Not Started,0,0,,12807,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/30/25 15:12,2/27/25 15:32,2/27/25 15:52,Completed,100,28.47,,12807,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/29/25 10:32,,,Not Started,0,0,,42323,UK,
Recording of the EO International Webinar - 13 February 2025,2/3/25 8:58,,,Not Started,0,0,,96653,Kenya,
Centre Declaration of Interest,10/24/24 11:19,10/24/24 11:19,10/24/24 11:19,Completed,100,40.25,,13319,UK,
Exams Officer UK Webinar - November 14 2024,11/6/24 8:37,,,Not Started,0,0,,13319,UK,
GQ Bitesize (UK) Exam Administration 2024/2025,3/13/25 10:40,3/13/25 10:40,3/13/25 11:10,Completed,100,30.47,30,48158,UK,
Recording of Exams Officer UK Webinar - March 13 2025,3/25/25 15:02,3/25/25 15:02,3/25/25 15:02,Completed,100,43.4,,48158,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 8:34,,,Not Started,0,0,,20340/67552,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/28/25 15:12,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,20340/67552,UK,
Exams Officer UK Webinar - March 13 2025,3/12/25 8:34,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,34661,UK,Thank you for attending our EO Webinar for March 2025
Exams Officer UK Webinar - 12 December 2024,11/26/24 8:33,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,56165,UK,
Exams Officer UK Webinar - 16 January 2025,1/10/25 8:44,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,56165,UK,Attended live event
Exams Officer UK Webinar - April 3rd 2025,3/19/25 8:25,,,Not Started,0,0,,56165,UK,
Exams Officer UK Webinar - June 12th 2025,3/19/25 8:37,,,Not Started,0,0,,56165,UK,
Exams Officer UK Webinar - March 13 2025,2/28/25 12:28,,,Not Started,0,0,,56165,UK,
Exams Officer UK Webinar - May 1st 2025,3/19/25 8:37,,,Not Started,0,0,,56165,UK,
Exams Officer UK Webinar - November 14 2024,10/24/24 7:41,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,56165,UK,
Exams Officer UK Webinar - October 17 2024,10/10/24 7:18,,,Not Started,0,0,,56165,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/29/25 8:43,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,56165,UK,
International Exams Officer Webinar - 12 December 2024,12/9/24 7:50,,,Not Started,0,0,,94487,China,
Recording of the EO International Webinar - 13 February 2025,2/8/25 1:23,,,Not Started,0,0,,94487,China,
Recording of the Exams Officer International Webinar - October 24 2024,10/22/24 8:23,,,Not Started,0,0,,94487,China,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 0:03,,,Not Started,0,0,,94487,China,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 3:47,,,Not Started,0,0,,96628,United Arab Emirates,
Exams Officer UK Webinar - September 26 2024,9/17/24 9:06,,,Not Started,0,0,,20518,UK,
BTEC Bitesize: Intro to BTEC (2024/25),2/2/25 18:06,2/2/25 18:06,2/2/25 18:20,Completed,100,13.450000000000001,40,26325,UK,
BTEC Bitesize: Registrations (2024/25),2/2/25 18:22,2/2/25 18:22,2/2/25 18:40,Completed,100,18.23,30,26325,UK,
Centre Declaration of Interest,1/31/25 14:14,1/31/25 14:14,1/31/25 14:14,Completed,100,13.15,,26325,UK,
Exams Officer UK Webinar - November 14 2024,11/4/24 11:20,,,Not Started,0,0,,17527,UK,
PEIC Bitesize - Test inspections 2023/24,5/2/25 13:53,5/2/25 13:59,,In Progress,0,1.78,0,84934,Italy,
Recording of the Exams Officer International Webinar - October 24 2024,5/2/25 13:55,5/2/25 14:01,5/2/25 14:01,Completed,100,50.8,,84934,Italy,
Centre Declaration of Interest,10/25/24 8:15,10/25/24 8:16,10/25/24 8:16,Completed,100,11.08,,37366,UK,
Recording of the EO International Webinar - 13 February 2025,2/7/25 14:22,,,Not Started,0,0,,97690,Spain,
Recording of the Exams Officer International Webinar - October 24 2024,10/11/24 7:54,,,Not Started,0,0,,97690,Spain,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 10:13,,,Not Started,0,0,,97690,Spain,
Cohort Declaration walkthrough,1/21/25 9:20,1/21/25 9:20,,In Progress,50,3.61,0,65321,UK,
BTEC Bitesize Module 10: Eligibility (2023/24),8/20/24 13:42,,,Not Started,0,0,,11024,UK,
BTEC Bitesize Module 1: Intro to BTEC (2023/24),8/20/24 11:55,8/20/24 11:55,8/20/24 12:18,Completed,100,22.75,40,11024,UK,
BTEC Bitesize Module 2: Registrations (2023/24),8/20/24 12:19,8/20/24 12:19,8/20/24 13:39,Completed,100,5.07,30,11024,UK,
BTEC Bitesize Module 3: Entries & External Assessments (2023/24),8/20/24 13:42,8/20/24 13:43,8/20/24 14:05,Completed,100,7.35,30,11024,UK,
BTEC Bitesize Module 4: BTEC Amendments (2023/24) UK centres,8/20/24 13:42,,,Not Started,0,0,,11024,UK,
BTEC Bitesize Module 5: Modified Papers (2023/24) UK centres,8/20/24 13:42,,,Not Started,0,0,,11024,UK,
BTEC Bitesize Module 6: Access Arrangements (2023/24) UK centres,8/20/24 13:42,,,Not Started,0,0,,11024,UK,
BTEC Bitesize Module 7: Exam Administration (2023/24),8/20/24 13:42,9/5/24 9:34,,In Progress,0,0.28,0,11024,UK,
BTEC Bitesize Module 8: Question Paper Security (2023/24),8/20/24 13:42,,,Not Started,0,0,,11024,UK,
Exams Officer UK Webinar - April 3rd 2025,3/19/25 11:07,,,Not Started,0,0,,66731,UK,
Exams Officer UK Webinar - March 13 2025,2/27/25 15:09,,,Not Started,0,0,,66731,UK,
Exams Officer UK Webinar - November 14 2024,11/4/24 9:36,,,Not Started,0,0,,66731,UK,
Exams Officer UK Webinar - October 17 2024,10/14/24 8:26,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,66731,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/21/25 10:16,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,66731,UK,
Recording of EO International Webinar - 10th April 2025,4/30/25 1:13,4/30/25 1:13,4/30/25 1:13,Completed,100,10,,94296,China,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 1:11,,,Not Started,0,0,,94296,China,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,5/5/25 7:42,,,Not Started,0,0,,,International,
BTEC Bitesize: Modified Papers (2024/25) UK centres,2/24/25 15:11,2/24/25 15:11,2/24/25 15:15,Completed,100,3.4,40,55328,UK,
Exams Officer UK Webinar - November 14 2024,10/11/24 9:07,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,55328,UK,
GQ Bitesize (UK) Question Paper Security 2024/2025,2/24/25 15:03,2/24/25 15:03,2/24/25 15:09,Completed,100,6.58,40,55328,UK,
International Customer Onboarding,3/25/25 9:29,,,Not Started,0,0,,97830,Kazakhstan,
EO International Webinar - 10th April 2025,4/8/25 0:22,,,Not Started,0,0,,95669,China,
Recording of the EO International Webinar - 12 December 2024,4/8/25 0:22,4/8/25 0:23,,In Progress,0,611.2,,95669,China,
Exams Officer UK Webinar - May 1st 2025,4/28/25 11:29,,,Not Started,0,0,,53815,UK,
Centre Declaration of Interest,9/19/24 14:19,9/19/24 14:19,9/19/24 14:19,Completed,100,27.83,,61663,UK,
Exams Officer UK Webinar - September 26 2024,9/20/24 13:41,,,Not Started,0,0,,61663,UK,
EO International Webinar - 10th April 2025,4/9/25 12:01,4/9/25 12:01,,In Progress,0,0.2,5,97579,China,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 6:02,,,Not Started,0,0,,97579,China,
Exams Officer UK Webinar - April 3rd 2025,4/1/25 7:14,,,Not Started,0,0,,68677,UK,
BTEC Tech Award  - Understanding the terminal rule,2/7/25 15:00,2/7/25 15:00,2/7/25 15:00,Completed,100,35.35,,,UK,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,1/24/25 14:16,1/24/25 14:16,1/24/25 14:16,Completed,100,1.22,,,UK,
Cohort Declaration walkthrough,1/24/25 11:41,1/24/25 11:41,,In Progress,50,4.53,,,UK,
Welcome to Pearson - New to role Exams Officer ,8/28/24 8:48,8/28/24 8:48,3/19/25 15:54,Completed,100,711.81,,,UK,
Centre Declaration of Interest,3/12/25 14:25,3/12/25 14:25,3/12/25 14:25,Completed,100,27.23,,12555,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 14:31,,,Not Started,0,0,,12555,UK,
Exams Officer UK Webinar - October 17 2024,10/11/24 11:28,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,12555,UK,
Recording of Exams Officer UK Webinar - September 2024,10/11/24 11:39,10/11/24 11:39,,In Progress,0,137.78,,12555,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/12/25 15:56,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,12555,UK,
Welcome to Pearson - New to role Exams Officer ,10/17/24 14:13,10/17/24 14:13,1/10/25 11:57,Completed,100,287.05,,12555,UK,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/13/24 13:29,3/13/24 13:29,,In Progress,0,1.25,,52319,UK,
